"proc__SID","proc__freq","proc__hourBlock","proc__day","proc__beepvar","personality__A_rude","personality__E_quiet","personality__C_lazy","personality__N_relaxed","personality__N_depressed","personality__E_outgoing","personality__A_kind","personality__C_reliable","personality__N_worried","personality__authentic","personality__self_esteem","personality__happy","personality__lonely","personality__posEmo","personality__negEmo","situation__stayHome","situation__studied","situation__music","situation__passFacebook","situation__actFacebook","situation__sick","situation__actService","situation__phone","situation__video","situation__class"
10549,17,1,13,49,4,3,1,3,1,2,2,4,1,3,4,2,2,2,4,0,0,0,1,0,0,1,0,0,0
10547,57,1,15,57,NA,4,2,5,1,1,NA,3,1,3,4,3,1,3,1,1,0,0,0,0,0,0,0,0,0
10547,57,1,14,53,2,2,1,3,1,4,5,5,2,4,5,4,2,4,2,1,0,0,0,0,0,1,0,0,0
10539,51,1,14,53,2,5,3,4,2,3,3,3,3,3,3,3,2,4,2,0,0,0,0,0,0,0,0,1,0
10547,57,1,13,49,1,3,2,5,1,3,5,5,1,4,5,5,1,5,1,1,1,0,0,0,0,0,0,0,0
10549,17,1,8,29,NA,4,3,3,1,2,NA,3,1,3,4,3,3,3,3,0,1,0,0,0,0,0,0,0,0
10539,51,1,13,49,NA,3,4,5,2,2,NA,3,2,4,4,4,3,5,2,1,0,0,0,0,0,0,0,1,0
10549,17,1,7,25,2,2,3,4,2,4,3,4,2,4,4,4,2,4,3,0,1,0,1,0,0,0,0,0,0
10547,57,1,11,41,2,3,2,3,1,4,4,4,3,4,4,3,1,4,3,0,1,0,1,0,0,0,0,0,0
10526,36,1,14,53,2,3,2,3,1,4,4,4,3,3,5,4,2,4,2,1,1,0,0,0,0,0,0,0,0
10547,57,1,10,37,1,4,1,3,1,3,4,4,2,4,5,4,1,4,3,1,1,1,1,1,0,0,0,0,0
10539,51,1,10,37,3,3,2,1,3,2,3,4,5,4,2,2,3,2,3,0,1,0,0,0,0,0,0,0,0
10547,57,1,9,33,NA,5,1,2,2,1,NA,4,4,3,3,2,2,2,3,1,1,0,0,0,0,0,0,0,0
10539,51,1,9,33,2,5,1,2,3,2,2,4,4,3,3,2,3,3,3,0,0,0,0,0,0,0,0,0,0
10547,57,1,8,29,1,5,1,3,1,1,4,5,2,3,5,4,1,4,2,0,1,1,0,0,0,0,0,0,0
10526,36,1,11,41,1,5,2,3,1,1,2,4,3,4,5,3,1,4,2,0,0,0,0,0,0,0,0,0,0
10539,51,1,8,29,NA,3,2,3,3,2,NA,4,2,3,3,3,3,4,3,1,1,1,0,0,0,0,0,0,0
10547,57,1,7,25,1,5,1,1,2,1,1,5,3,3,4,3,1,3,4,0,1,0,0,0,0,0,0,0,0
10538,12,1,10,37,1,3,1,3,1,4,4,5,3,4,4,4,1,4,2,0,1,0,1,1,0,0,0,0,0
10549,17,1,2,5,1,2,1,2,1,5,3,3,2,3,4,4,2,4,1,0,1,0,0,0,0,1,0,0,0
10547,57,1,6,21,1,5,1,3,1,2,4,5,1,4,5,4,1,4,2,0,1,1,1,0,0,0,0,0,0
10539,51,1,7,25,NA,4,2,2,4,2,NA,5,4,3,2,2,3,2,4,1,1,0,0,0,0,0,0,0,0
