"proc__SID","dem__sex","dem__age","dem__sexOr","dem__YrSchl","dem__Ethn","dem__Race","personality__BFI.A_1","personality__BFI.A_2","personality__BFI.A_3","personality__BFI.A_4","personality__BFI.A_5","personality__BFI.A_6","personality__BFI.A_7","personality__BFI.A_8","personality__BFI.A_9","personality__BFI.C_1","personality__BFI.C_2","personality__BFI.C_3","personality__BFI.C_4","personality__BFI.C_5","personality__BFI.C_6","personality__BFI.C_7","personality__BFI.C_8","personality__BFI.C_9","personality__BFI.E_1","personality__BFI.E_2","personality__BFI.E_3","personality__BFI.E_4","personality__BFI.E_5","personality__BFI.E_6","personality__BFI.E_7","personality__BFI.E_8","personality__BFI.N_1","personality__BFI.N_2","personality__BFI.N_3","personality__BFI.N_4","personality__BFI.N_5","personality__BFI.N_6","personality__BFI.N_7","personality__BFI.N_8","personality__BFI.O_1","personality__BFI.O_2","personality__BFI.O_3","personality__BFI.O_4","personality__BFI.O_5","personality__BFI.O_6","personality__BFI.O_7","personality__BFI.O_8","personality__BFI.O_9","personality__BFI.O_10","personality__E_outgoing","consistency__E_outgoing","personality__A_kind","consistency__A_kind","personality__posEmo","consistency__posEmo","personality__negEmo","consistency__negEmo","personality__C_reliable","consistency__C_reliable","personality__happy","consistency__happy","personality__N_worried","consistency__N_worried","personality__selfEsteem","consistency__selfEsteem"
1,2,18,1,2,2,2,13,13,2,15,1,8,1,11,14,8,5,15,10,15,1,10,10,14,11,1,11,12,7,6,6,11,5,13,11,9,7,3,8,4,12,3,15,14,10,15,1,13,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,18,1,2,2,2,9,12,2,14,3,14,9,12,9,12,10,10,9,10,9,15,12,10,12,6,12,10,3,9,6,13,4,10,4,2,12,4,12,5,14,2,14,7,13,15,11,9,13,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2,18,1,2,2,2,10,15,3,15,5,13,4,10,11,12,10,12,11,14,5,12,15,12,15,1,15,15,12,2,1,15,1,11,11,1,12,11,14,10,15,1,15,12,11,15,1,13,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,18,1,2,2,2,4,12,5,12,5,12,4,11,11,13,5,12,11,11,5,12,11,7,13,3,14,11,6,4,4,12,7,7,13,3,13,4,12,10,11,8,10,10,8,5,11,7,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2,19,1,3,2,5,4,14,1,14,2,11,3,14,14,12,14,5,7,10,10,10,13,9,8,14,4,8,1,15,12,4,13,4,9,11,6,12,5,15,12,5,10,12,9,13,10,11,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,18,1,2,2,5,10,10,5,10,10,7,7,11,9,10,12,12,10,9,12,10,10,9,9,12,10,10,12,10,9,8,6,10,8,4,12,7,12,5,7,7,11,13,12,9,5,12,9,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2,27,3,1,2,5,12,10,2,7,5,7,5,11,11,15,9,9,10,11,15,13,12,4,11,9,15,10,13,11,1,9,15,3,15,13,11,11,8,15,15,1,13,11,11,15,12,11,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,19,1,3,2,3,9,10,1,11,11,10,12,9,10,5,11,13,1,5,3,11,4,9,10,3,10,6,1,9,7,6,14,1,13,13,1,13,3,15,3,7,5,1,4,11,6,8,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2,18,3,3,2,3,7,14,9,14,2,14,10,14,14,13,5,5,8,9,14,9,10,6,14,1,13,13,12,3,2,14,5,9,9,1,12,11,10,10,3,5,10,11,9,11,10,10,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2,18,3,2,2,5,13,5,5,12,9,9,9,9,11,12,10,3,9,15,7,8,13,7,6,7,9,10,5,10,8,4,13,9,12,13,2,15,10,15,13,7,11,15,8,10,9,8,9,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,20,4,4,2,5,10,15,9,15,1,13,10,10,12,9,11,10,10,14,14,12,7,13,13,2,8,10,3,5,6,14,10,12,10,5,10,9,11,9,14,3,13,12,11,15,1,11,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2,18,1,2,2,5,5,14,3,12,9,15,11,14,15,13,6,3,11,12,12,11,14,4,12,5,12,12,8,11,5,11,8,13,10,2,10,11,12,10,8,6,9,12,7,12,8,9,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2,18,1,2,2,5,11,12,10,14,6,11,12,11,13,12,11,5,11,11,10,10,14,11,14,6,13,11,13,8,5,12,9,13,9,3,14,4,14,10,14,7,11,12,13,14,11,11,11,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,2,18,1,2,2,5,9,14,2,14,6,14,3,5,15,13,6,5,11,13,14,10,15,3,13,4,15,12,13,5,1,11,14,2,15,2,3,3,3,13,14,2,11,12,13,15,14,14,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,2,18,1,2,2,5,9,13,4,12,4,14,4,10,13,13,6,3,14,13,14,4,14,5,13,9,13,13,14,10,7,13,11,7,12,4,10,9,11,14,12,6,9,10,9,11,9,10,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,2,19,1,3,2,5,5,15,2,14,2,12,7,14,15,14,5,3,15,12,11,9,13,3,12,8,12,15,9,11,9,13,9,14,9,2,12,9,13,7,14,1,12,9,15,15,8,15,15,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,19,1,2,2,2,6,12,5,11,8,12,5,13,13,13,9,7,11,10,14,6,11,8,9,5,10,9,9,4,4,8,3,11,9,2,14,5,13,11,14,13,12,8,13,7,6,15,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,18,1,2,2,5,13,5,11,6,11,15,9,7,8,11,7,11,14,12,12,11,13,7,7,9,4,8,14,12,13,6,5,15,9,1,15,1,15,1,13,10,14,15,13,15,13,15,15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,2,19,3,3,2,3,9,11,11,3,12,7,13,7,5,12,14,9,13,10,10,10,13,9,10,3,12,6,15,3,3,7,5,11,8,3,9,13,9,7,9,10,11,9,9,7,10,7,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
