old,new,old2
10549,21655,10549
10547,78053,10547
10539,77137,10539
10526,51790,10526
10538,61687,10538
10541,17588,10541
10536,11260,10536
10544,30564,10544
10543,16461,10543
10509,44257,10509
10515,564,10515
10530,70573,10530
10545,68513,10545
10533,74950,10533
10532,98863,10532
10542,8608,10542
10535,24827,10535
10498,287,10498
10512,34967,10512
10523,44643,10523
10485,61632,10485
10398,94389,10398
10528,88705,10528
10517,91707,10517
10529,54211,10529
10522,38814,10522
10508,63408,10508
10473,9086,10473
10516,65365,10516
10518,10981,10518
10540,44446,10540
10513,88261,10513
10477,90934,10477
10537,60148,10537
10494,97159,10494
10506,36939,10506
10460,10622,10460
10510,30820,10510
10497,28658,10497
10472,59611,10472
10466,27891,10466
10486,36352,10486
10483,87439,10483
10479,62752,10479
10492,10506,10492
10488,73157,10488
10511,539,10511
10525,62043,10525
10503,43119,10503
10474,17310,10474
10452,28271,10452
10490,85019,10490
10484,31688,10484
10453,34577,10453
10463,25083,10463
10493,50547,10493
10524,63568,10524
10469,60221,10469
10456,18043,10456
10476,99186,10476
10447,83106,10447
10481,6450,10481
10461,66952,10461
10449,96859,10449
10465,5343,10465
10459,39519,10459
10448,90274,10448
10445,64696,10445
10475,35350,10475
10454,38264,10454
10480,42097,10480
10450,37388,10450
10496,77391,10496
10438,25017,10438
10397,89784,10397
10455,36738,10455
10432,39941,10432
10487,29090,10487
10437,882,10437
10457,31974,10457
10462,40089,10462
10440,89078,10440
10495,79321,10495
10441,42685,10441
10444,85741,10444
10471,8951,10471
10442,20215,10442
10422,28355,10422
10431,19610,10431
10470,39540,10470
10451,51456,10451
10418,57648,10418
10372,97480,10372
10277,23423,10277
10429,70642,10429
10439,19497,10439
10366,95084,10366
10436,38991,10436
10426,41547,10426
10411,96429,10411
10427,30973,10427
10341,71951,10341
10428,28212,10428
10434,27127,10434
10349,58117,10349
10423,85239,10423
10371,75689,10371
10402,2860,10402
10415,42844,10415
10412,4481,10412
10352,16549,10352
10388,81290,10388
10413,76821,10413
10414,43310,10414
10380,7668,10380
10364,50375,10364
10360,1119,10360
10404,44396,10404
10342,38916,10342
10330,12377,10330
10345,77453,10345
10379,68952,10379
10389,13433,10389
10374,49055,10374
10350,74687,10350
10354,88034,10354
10338,14003,10338
10324,77364,10324
10390,56105,10390
10363,92291,10363
10409,9162,10409
10386,68273,10386
10347,43758,10347
10331,47030,10331
10304,42243,10304
10359,11991,10359
10367,32812,10367
10361,82992,10361
10327,6502,10327
10378,53224,10378
10383,9627,10383
10381,84691,10381
10368,91835,10368
10318,44421,10318
10365,38630,10365
10407,19950,10407
10370,65822,10370
10335,54202,10335
10369,46213,10369
10325,1372,10325
10332,65804,10332
10287,81362,10287
10343,77271,10343
